v(g),n,v,l,d,i,e,t,n1,n2,N1,N2,result
1,91,411.644138,0.07,14.67,28.07,6037.45,335.41,11,12,59,32,1
2,38,180.0850143,0.1,10.2,16.61,1728.48,96.03,13,8,23,18,1
33,1296,7387.769875,0.01,167.07,44.22,1234239.38,68568.85,29,23,1031,265,1
17,187,1085.97537,0.04,22.78,47.68,24736.11,1374.23,20,36,105,82,1
11,225,1306.654857,0.03,29.84,43.79,38988.89,2166.05,25,31,151,74,1
3,72,375.0806423,0.13,7.44,50.41,2790.6,155.03,12,25,41,31,1
3,93,442.2045377,0.09,11.5,38.45,5085.35,282.52,9,18,47,46,1
11,155,971.3519138,0.03,30.99,31.35,30099.77,1672.21,37,40,88,67,1
14,230,1311.101135,0.03,30.52,42.97,40008.45,2222.69,19,33,124,106,1
22,367,2202,0.02,44.79,49.17,98618.14,5478.79,22,42,196,171,1
11,136,742.4827001,0.04,26.48,28.04,19659.65,1092.2,21,23,78,58,1
9,202,1096.10548,0.03,32.04,34.21,35119.22,1951.07,18,25,113,89,1
22,458,2768.332507,0.02,59.8,46.29,165546.28,9197.02,26,40,274,184,1
3,68,326.9001347,0.08,12.38,26.42,4045.39,224.74,12,16,35,33,1
11,266,1571.232898,0.04,28.27,55.58,44416.07,2467.56,19,41,144,122,1
5,62,276.4847604,0.06,16,17.28,4423.76,245.76,11,11,30,32,1
3,53,239.7487837,0.08,12.55,19.11,3007.76,167.1,12,11,30,23,1
6,36,160.5395383,0.17,5.88,27.28,944.71,52.48,9,13,19,17,1
3,54,237.1851408,0.06,16.25,14.6,3854.26,214.13,13,8,34,20,1
9,200,1091.886324,0.05,20.3,53.79,22165.29,1231.41,14,30,113,87,1
12,359,2162.030045,0.02,49.03,44.1,105996.37,5888.69,27,38,221,138,1
12,354,2124,0.02,49.62,42.8,105396.32,5855.35,27,37,218,136,1
10,232,1295.7113,0.02,43.24,29.97,56026.56,3112.59,23,25,138,94,1
10,244,1362.73085,0.02,44.62,30.54,60805.05,3378.06,23,25,147,97,1
2,35,160.4736875,0.13,7.5,21.4,1203.55,66.86,12,12,20,15,1
9,118,644.212931,0.04,23.5,27.41,15139,841.06,22,22,71,47,1
5,121,625.5609252,0.04,24.5,25.53,15326.24,851.46,18,18,72,49,1
19,249,1432.966988,0.03,35.61,40.24,51032.11,2835.12,23,31,153,96,1
8,232,1309.374636,0.03,37.91,34.54,49635,2757.5,23,27,143,89,1
3,21,84,0.13,7.7,10.91,646.8,35.93,11,5,14,7,1
15,396,2458.943533,0.02,40.62,60.54,99870.94,5548.39,22,52,204,192,1
12,196,1063.547892,0.03,36.75,28.94,39085.39,2171.41,21,22,119,77,1
4,87,438.8622884,0.08,12.08,36.32,5302.92,294.61,15,18,58,29,1
10,177,1008.97783,0.03,34.26,29.45,34566.83,1920.38,25,27,103,74,1
5,73,365,0.08,12.79,28.53,4669.85,259.44,15,17,44,29,1
1,12,41.51317942,0.33,3,13.84,124.54,6.92,6,5,7,5,1
2,64,307.670715,0.09,10.83,28.4,3333.1,185.17,13,15,39,25,1
3,58,269.343659,0.11,8.77,30.71,2361.94,131.22,12,13,39,19,1
1,24,96,0.17,5.79,16.59,555.43,30.86,9,7,15,9,1
19,513,2766.258838,0.02,49.85,55.5,137887.36,7660.41,16,26,351,162,1
1,12,41.51317942,0.33,3,13.84,124.54,6.92,6,5,7,5,1
3,46,213.6173847,0.1,10.5,20.34,2242.98,124.61,15,10,32,14,1
3,33,144.946475,0.11,8.94,16.21,1295.46,71.97,13,8,22,11,1
7,130,661.3701694,0.03,29.08,22.75,19230.61,1068.37,21,13,94,36,1
14,184,1058.8993,0.05,20.29,52.18,21489.43,1193.86,20,34,115,69,1
42,547,3477.580947,0.03,33.23,104.67,115545.43,6419.19,20,62,341,206,1
19,265,1625.352579,0.05,22,73.83,35733.72,1985.21,22,46,171,96,1
3,53,243.0030125,0.11,9,27,2187.03,121.5,12,12,35,18,1
4,214,1231.545925,0.05,21.71,56.72,26742.14,1485.67,19,35,134,80,1
1,138,762.2515499,0.08,12.25,62.22,9337.58,518.75,14,32,82,56,1
13,215,972.5658206,0.03,34.83,27.92,33877.71,1882.09,11,12,139,76,1
11,275,1662.208383,0.03,34.13,48.71,56722.86,3151.27,26,40,170,105,1
3,41,182.8366964,0.12,8.67,21.1,1584.58,88.03,13,9,29,12,1
4,51,236.8366657,0.12,8.25,28.71,1953.9,108.55,11,14,30,21,1
2,34,144.4295355,0.13,7.56,19.1,1092.25,60.68,11,8,23,11,1
3,39,168.5551957,0.15,6.72,25.07,1133.07,62.95,11,9,28,11,1
1,204,1046.373735,0.07,13.4,78.09,14021.41,778.97,10,25,137,67,1
2,92,446.9342516,0.08,13,34.38,5810.15,322.79,13,16,60,32,1
7,130,661.3701694,0.03,29.08,22.75,19230.61,1068.37,21,13,94,36,1
3,42,187.296128,0.13,7.8,24.01,1460.91,81.16,12,10,29,13,1
7,97,471.2241565,0.1,10.35,45.53,4877.17,270.95,9,20,51,46,1
1,35,145.9473751,0.18,5.5,26.54,802.71,44.6,9,9,24,11,1
3,82,413.6403178,0.06,15.42,26.83,6376.95,354.28,15,18,45,37,1
3,84,427.3468787,0.07,14.61,29.26,6241.51,346.75,15,19,47,37,1
2,79,387.6443571,0.1,10.42,37.2,4039.66,224.43,11,19,43,36,1
9,227,1281.155355,0.03,30.64,41.81,39258.26,2181.01,22,28,149,78,1
3,42,187.296128,0.11,9.39,19.95,1758.5,97.69,13,9,29,13,1
3,36,155.5894114,0.15,6.72,23.15,1045.91,58.11,11,9,25,11,1
7,130,661.3701694,0.03,29.08,22.75,19230.61,1068.37,21,13,94,36,1
7,130,661.3701694,0.03,29.08,22.75,19230.61,1068.37,21,13,94,36,1
7,130,661.3701694,0.03,29.08,22.75,19230.61,1068.37,21,13,94,36,1
3,34,146.9455552,0.13,7.5,19.59,1102.09,61.23,12,8,24,10,1
5,67,318.5774626,0.08,11.88,26.83,3783.11,210.17,15,12,48,19,1
1,39,181.1103914,0.15,6.68,27.12,1209.56,67.2,11,14,22,17,1
3,52,241.4805219,0.09,10.82,22.32,2612.38,145.13,14,11,35,17,1
3,134,722.5705347,0.05,19.72,36.64,14249.09,791.62,17,25,76,58,1
1,100,516.9925001,0.12,8.36,61.84,4322.06,240.11,11,25,62,38,1
2,18,66.60791493,0.18,5.6,11.89,373,20.72,8,5,11,7,1
3,97,493.4838956,0.09,10.91,45.24,5383.46,299.08,12,22,57,40,1
3,47,206.4389189,0.13,7.5,27.53,1548.29,86.02,9,12,27,20,1
2,12,38.03910002,0.25,4,9.51,152.16,8.45,6,3,8,4,1
10,77,338.2084416,0.05,22,15.37,7440.59,413.37,12,9,44,33,1
4,41,180.0850143,0.12,8.25,21.83,1485.7,82.54,11,10,26,15,1
7,95,494.8980697,0.09,11.38,43.51,5629.47,312.75,13,24,53,42,1
7,184,902.8678696,0.02,40.57,22.25,36630.64,2035.04,16,14,113,71,1
3,73,315.5007509,0.05,20.25,15.58,6388.89,354.94,12,8,46,27,1
1,10,30,0.5,2,15,60,3.33,4,4,6,4,1
5,80,403.5515295,0.09,10.86,37.17,4381.42,243.41,12,21,42,38,1
3,53,232.7928234,0.06,15.44,15.08,3593.74,199.65,13,8,34,19,1
3,77,391.7346388,0.1,10.09,38.82,3952.96,219.61,12,22,40,37,1
26,564,4026.706963,0.04,25.33,158.95,102009.91,5667.22,24,117,317,247,1
22,487,3345.867618,0.03,37.76,88.61,126335.35,7018.63,30,87,268,219,1
2,46,198.8086924,0.21,4.71,42.17,937.24,52.07,6,14,24,22,1
3,52,241.4805219,0.1,10.15,23.78,2451.96,136.22,12,13,30,22,1
37,555,3366.679501,0.02,59.33,56.75,199743.56,11096.86,23,44,328,227,1
4,187,988.3702149,0.03,30,32.95,29651.11,1647.28,18,21,117,70,1
2,45,194.4867643,0.12,8.59,22.64,1670.82,92.82,9,11,24,21,1
6,166,941.6226068,0.04,23.1,40.76,21751.48,1208.42,21,30,100,66,1
1,15,53.77443751,0.24,4.2,12.8,225.85,12.55,7,5,9,6,1
1,7,19.65148445,0.5,2,9.83,39.3,2.18,4,3,4,3,1
1,7,19.65148445,0.5,2,9.83,39.3,2.18,4,3,4,3,1
1,7,19.65148445,0.5,2,9.83,39.3,2.18,4,3,4,3,1
1,7,19.65148445,0.5,2,9.83,39.3,2.18,4,3,4,3,1
7,131,701.8393126,0.05,20.95,33.5,14705.2,816.96,20,21,87,44,1
32,1181,6976.037793,0.01,147.05,47.44,1025844.72,56991.37,22,38,673,508,1
1,15,53.77443751,0.24,4.2,12.8,225.85,12.55,7,5,9,6,1
1,98,476.0821375,0.08,12.22,38.95,5818.78,323.27,11,18,58,40,1
1,12,39.86313714,0.27,3.75,10.63,149.49,8.3,6,4,7,5,1
1,80,388.6384796,0.09,11.65,33.37,4526.5,251.47,12,17,47,33,1
1,30,120,0.16,6.43,18.67,771.43,42.86,9,7,20,10,1
2,84,399.4105502,0.11,9,44.38,3594.69,199.71,9,18,48,36,1
7,119,641.6857733,0.06,17.68,36.29,11345,630.28,17,25,67,52,1
9,235,1364.728407,0.03,31.36,43.51,42802.85,2377.94,23,33,145,90,1
9,235,1358.619533,0.03,32.34,42.01,43942.85,2441.27,23,32,145,90,1
1,13,36.49561399,0.44,2.25,16.21,82.12,4.56,3,4,7,6,1
1,44,186.9088106,0.19,5.25,35.6,981.27,54.52,7,12,26,18,1
2,57,274.0192306,0.1,9.75,28.1,2671.69,148.43,12,16,31,26,1
7,111,613.1153771,0.05,19.23,31.88,11790.68,655.04,20,26,61,50,1
17,237,1301.569184,0.03,31.88,40.83,41487.52,2304.86,17,28,132,105,1
3,56,272.0469357,0.15,6.84,39.76,1861.37,103.41,10,19,30,26,1
6,166,941.6226068,0.04,23.1,40.76,21751.48,1208.42,21,30,100,66,1
1,1,0,0,0,0,0,0,1,0,1,0,1
1,45,166.5197873,0.15,6.86,24.28,1141.85,63.44,6,7,29,16,1
5,309,1705.258777,0.03,32.04,53.85,55302.55,3072.36,15,32,167,140,1
4,72,325.6964608,0.04,25.31,12.87,8244.19,458.01,15,8,45,27,1
2,15,47.54887502,0.5,2,23.77,95.1,5.28,4,5,10,5,1
13,211,1256.335421,0.03,30,41.88,37690.06,2093.88,24,38,116,95,1
1,15,53.77443751,0.24,4.2,12.8,225.85,12.55,7,5,9,6,1
2,51,204,0.09,11,18.55,2244,124.67,8,8,29,22,1
2,68,311.77745,0.16,6.38,48.85,1989.87,110.55,7,17,37,31,1
6,138,762.2515499,0.05,20.89,36.48,15925.61,884.76,18,28,73,65,1
23,534,3491.910805,0.02,54.15,64.48,189081.51,10504.53,29,64,295,239,1
1,11,38.05374781,0.29,3.5,10.87,133.19,7.4,7,4,7,4,1
2,23,82.45413752,0.2,5,16.49,412.27,22.9,6,6,13,10,1
5,126,635.593659,0.05,20.63,30.81,13113.3,728.52,14,19,70,56,1
45,867,5600.327213,0.01,101.64,55.1,569205.67,31622.54,30,58,474,393,1
1,27,105.4860461,0.42,2.36,44.63,249.33,13.85,4,11,14,13,1
6,88,423.0472331,0.07,14.73,28.71,6232.9,346.27,13,15,54,34,1
12,191,1083.43324,0.02,40.87,26.51,44274.92,2459.72,25,26,106,85,1
2,29,96.33591475,0.11,9.33,10.32,899.14,49.95,7,3,21,8,1
2,20,71.69925001,0.14,7,10.24,501.89,27.88,7,5,10,10,1
2,26,96.21143267,0.27,3.75,25.66,360.79,20.04,5,8,14,12,1
7,175,997.5769507,0.04,23.61,42.26,23548.86,1308.27,19,33,93,82,1
5,67,337.974406,0.07,13.81,24.47,4668.27,259.35,17,16,41,26,1
22,399,2535.839176,0.02,47.27,51.73,115609.42,6422.75,26,46,247,164,1
11,389,2590.044267,0.05,18.42,140.64,47699.98,2650,17,84,207,182,1
9,164,884.3400573,0.05,19.72,44.84,17439.19,968.84,17,25,106,58,1
6,316,1763.018891,0.03,33.88,52.64,60427.77,3357.1,16,33,171,143,1
2,29,113.2998273,0.18,5.69,19.92,644.39,35.8,7,8,16,13,1
12,183,973.9128414,0.03,28.83,33.79,28074.1,1559.67,17,23,105,78,1
2,12,36,0.5,2,18,72,4,4,4,8,4,1
2,16,55.3509059,0.34,2.92,18.98,161.44,8.97,5,6,9,7,1
5,32,142.7018118,0.1,9.63,14.83,1373.5,76.31,14,8,21,11,1
3,24,96,0.17,5.79,16.59,555.43,30.86,9,7,15,9,1
3,64,325.5976218,0.12,8.36,38.96,2721.07,151.17,13,21,37,27,1
3,37,167.3717924,0.12,8.45,19.81,1414.29,78.57,13,10,24,13,1
2,57,250.3620931,0.06,15.44,16.21,3864.96,214.72,13,8,38,19,1
5,117,595.2331524,0.08,12.2,48.81,7259.26,403.29,11,23,66,51,1
2,28,118.9419704,0.17,5.85,20.33,695.81,38.66,9,10,15,13,1
3,23,85.11011352,0.21,4.67,18.24,397.18,22.07,7,6,15,8,1
18,300,1793.183977,0.03,29.5,60.79,52898.93,2938.83,21,42,182,118,1
1,9,25.2661943,0.67,1.5,16.84,37.9,2.11,3,4,5,4,1
2,61,263.6376138,0.1,10.39,25.38,2738.9,152.16,11,9,44,17,1
6,209,1035.427029,0.04,28,36.98,28991.96,1610.66,14,17,141,68,1
1,14,48.43204266,0.4,2.5,19.37,121.08,6.73,5,6,8,6,1
1,50,216.0964047,0.13,7.77,27.8,1679.66,93.31,9,11,31,19,1
10,94,441.8413335,0.08,12,36.82,5302.1,294.56,12,14,66,28,1
14,247,1547.896276,0.03,30.64,50.52,47424.91,2634.72,30,47,151,96,1
1,17,58.81033752,0.67,1.5,39.21,88.22,4.9,3,8,9,8,1
14,124,706.854525,0.06,15.92,44.4,11252.67,625.15,21,31,77,47,1
7,483,3127.779247,0.04,25.32,123.55,79179.95,4398.89,16,73,252,231,1
1,59,230.5065451,0.1,10.06,22.91,2319.47,128.86,7,8,36,23,1
1,24,62.03910002,0.07,15,4.14,930.59,51.7,5,1,18,6,1
1,15,53.77443751,0.24,4.2,12.8,225.85,12.55,7,5,9,6,1
5,35,143.0611994,0.16,6.22,22.99,890.16,49.45,8,9,21,14,1
6,41,180.0850143,0.14,7.13,25.28,1283.11,71.28,9,12,22,19,1
10,153,840.2535237,0.04,26.4,31.83,22182.69,1232.37,20,25,87,66,1
8,143,744.9518313,0.06,15.44,48.26,11500.19,638.9,13,24,86,57,1
2,67,331.9311528,0.1,10.47,31.7,3476.06,193.11,13,18,38,29,1
6,95,518.6460038,0.09,11.43,45.38,5927.38,329.3,16,28,55,40,1
14,226,1262.201525,0.03,33.09,38.15,41761.46,2320.08,19,29,125,101,1
3,52,235.2252217,0.11,9.23,25.48,2171.31,120.63,10,13,28,24,1
10,101,530.0406789,0.11,8.76,60.51,4642.76,257.93,11,27,58,43,1
18,429,2719.795651,0.02,50.75,53.59,138029.63,7668.31,29,52,247,182,1
3,63,284.9844032,0.05,18.85,15.12,5371.96,298.44,13,10,34,29,1
3,82,402.3650288,0.12,8.14,49.41,3276.4,182.02,9,21,44,38,1
11,138,748.8245361,0.07,14,53.49,10483.54,582.42,14,29,80,58,1
3,32,133.4376,0.11,9.43,14.15,1258.13,69.9,11,7,20,12,1
7,67,303.0786511,0.04,23.33,12.99,7071.84,392.88,14,9,37,30,1
6,155,922.9004281,0.04,22.37,41.25,20646.6,1147.03,27,35,97,58,1
3,67,358.9559843,0.08,13.33,26.92,4786.08,265.89,20,21,39,28,1
13,340,2047.605056,0.03,32.42,63.15,66391.36,3688.41,19,46,183,157,1
8,118,665.9750304,0.09,10.69,62.27,7122.23,395.68,14,36,63,55,1
10,124,699.8381675,0.08,11.79,59.38,8248.09,458.23,15,35,69,55,1
22,204,1282.222053,0.04,27.04,47.41,34674.56,1926.36,31,47,122,82,1
4,38,166.9080621,0.11,9.33,17.88,1557.81,86.54,12,9,24,14,1
15,93,524.8786256,0.1,10,52.49,5248.79,291.6,20,30,63,30,1
18,455,2868.22024,0.02,40.8,70.3,117023.39,6501.3,24,55,268,187,1
8,252,1494.545809,0.04,27.64,54.07,41310.78,2295.04,22,39,154,98,1
1,17,66.41714013,0.3,3.33,19.93,221.39,12.3,6,9,7,10,1
18,579,3720.807293,0.03,34.46,107.99,128201.25,7122.29,19,67,336,243,1
1,18,72,0.3,3.3,21.82,237.6,13.2,6,10,7,11,1
1,9,25.2661943,0.38,2.67,9.47,67.38,3.74,4,3,5,4,1
41,386,2735.760657,0.03,36.89,74.16,100924.41,5606.91,49,87,255,131,1
2,36,152.9253905,0.13,7.78,19.66,1189.42,66.08,10,9,22,14,1
1,265,1471.966046,0.04,24.77,59.42,36466.77,2025.93,16,31,169,96,1
16,1220,8830.853782,0.02,65.68,134.46,579968.21,32220.46,34,117,768,452,1
1,16,64,0.33,3,21.33,192,10.67,6,10,6,10,1
19,432,2665.407601,0.03,30.67,86.92,81739.17,4541.06,18,54,248,184,1
6,135,713.5292995,0.05,20.14,35.42,14372.52,798.47,18,21,88,47,1
5,48,230.7530363,0.05,18.9,12.21,4361.23,242.29,18,10,27,21,1
32,547,3615.144413,0.02,43.46,82.89,156531.52,8696.2,26,70,315,234,1
8,334,2111.523984,0.04,26.87,78.57,56742.73,3152.37,21,59,183,151,1
2,49,230.3215462,0.15,6.56,35.1,1511.49,83.97,10,16,28,21,1
6,281,1659.836257,0.04,26.88,61.74,44622.57,2479.03,17,43,145,136,1
9,366,2286.74147,0.03,36.89,61.99,84350.56,4686.14,23,53,196,170,1
33,433,2782.572639,0.02,40.27,69.1,112057.5,6225.42,27,59,257,176,1
3,37,157.173318,0.15,6.75,23.28,1060.92,58.94,9,10,22,15,1
9,187,1085.97537,0.03,30.24,35.91,32842,1824.56,25,31,112,75,1
35,393,2587.890263,0.04,27.99,92.45,72442.7,4024.59,25,71,234,159,1
2,28,112,0.15,6.5,17.23,728,40.44,8,8,15,13,1
7,211,1144.941863,0.04,27.13,42.19,31067.56,1725.98,17,26,128,83,1
11,332,1910.622651,0.03,39.12,48.84,74739.06,4152.17,20,34,199,133,1
5,101,522.1624251,0.05,20,26.11,10443.25,580.18,18,18,61,40,1
3,172,882.2366789,0.06,17.74,49.73,15650.11,869.45,12,23,104,68,1
10,226,1340.346638,0.03,29.33,45.69,39316.83,2184.27,22,39,122,104,1
11,289,1678.325572,0.03,34.2,49.07,57398.73,3188.82,21,35,175,114,1
18,491,3269.181838,0.03,38.65,84.58,126364.78,7020.27,26,75,268,223,1
17,451,2826.32073,0.02,43.75,64.59,123651.53,6869.53,25,52,269,182,1
12,269,1637.844081,0.03,30.06,54.28,49050.47,2725.03,25,42,169,101,1
7,174,913.1393873,0.04,27.93,32.7,25502.68,1416.82,17,21,105,69,1
3,28,103.6123121,0.13,8,12.95,828.9,46.05,8,5,18,10,1
1,14,44.37895002,0.27,3.75,11.83,166.42,9.25,5,4,8,6,1
4,37,164.9989699,0.07,14.67,11.25,2419.98,134.44,16,6,26,11,1
2,73,343.1320994,0.13,7.94,43.21,2724.87,151.38,9,17,43,30,1
7,184,902.8678696,0.02,40.57,22.25,36630.64,2035.04,16,14,113,71,1
2,41,182.8366964,0.11,9.39,19.47,1716.63,95.37,13,9,28,13,1
1,85,404.1654377,0.07,13.93,29.02,5629.45,312.75,13,14,55,30,1
2,120,605.3272943,0.05,21.65,27.96,13103.56,727.98,16,17,74,46,1
10,157,785,0.03,34.85,22.52,27359.56,1519.98,15,17,78,79,1
20,676,4197.590475,0.01,89.32,47,374921.15,20828.95,30,44,414,262,1
8,146,801.8105521,0.05,19.33,41.47,15501.67,861.2,18,27,88,58,1
4,64,317.0685639,0.08,13.13,24.16,4161.52,231.2,15,16,36,28,1
23,314,1869.617641,0.02,49.41,37.84,92381.11,5132.28,28,34,194,120,1
5,166,900.7599493,0.04,27.83,32.36,25064.62,1392.48,20,23,102,64,1
3,28,114.4489596,0.12,8.57,13.35,980.99,54.5,10,7,16,12,1
6,384,2498.993142,0.04,24.9,100.36,62224.93,3456.94,21,70,218,166,1
8,405,2622.67204,0.03,30.14,87,79057.67,4392.09,23,66,232,173,1
7,409,2661.688008,0.04,26.1,101.98,69470.06,3859.45,21,70,235,174,1
1,155,900.1400129,0.09,11.03,81.57,9932.94,551.83,13,43,82,73,1
1,155,904.0979522,0.09,10.78,83.84,9749.87,541.66,13,44,82,73,1
73,1643,10819.09339,0.01,96.45,112.18,1043473.09,57970.73,20,76,910,733,1
2,237,1442.728693,0.07,15.14,95.28,21845.09,1213.62,15,53,130,107,1
2,229,1394.028991,0.06,16.14,86.3,22518.93,1251.05,16,52,124,105,1
10,811,5445.253115,0.02,50.07,108.74,272666.01,15148.11,24,81,473,338,1
3,381,2202.698051,0.03,35.36,62.29,77889.85,4327.21,19,36,247,134,1
1,8,22.45883938,0.5,2,11.23,44.92,2.5,4,3,5,3,1
6,139,784.4960104,0.05,19.64,39.94,15409.74,856.1,22,28,89,50,1
9,150,871.1032383,0.05,20.71,42.07,18036.96,1002.05,22,34,86,64,1
4,115,620.1165036,0.06,16.12,38.46,9999.38,555.52,18,24,72,43,1
6,123,650.1044729,0.06,15.94,40.79,10361.04,575.61,15,24,72,51,1
4,93,477.0233206,0.09,11.48,41.56,5475.4,304.19,12,23,49,44,1
3,64,325.5976218,0.07,13.5,24.12,4395.57,244.2,18,16,40,24,1
5,78,382.7374665,0.08,11.85,32.29,4536.56,252.03,13,17,47,31,1
4,61,275.9372793,0.1,9.63,28.67,2655.9,147.55,11,12,40,21,1
1,5,11.60964047,0.67,1.5,7.74,17.41,0.97,3,2,3,2,1
5,48,228.2346001,0.1,10.23,22.31,2335.02,129.72,14,13,29,19,1
4,27,105.4860461,0.3,3.33,31.65,351.62,19.53,6,9,17,10,1
2,56,277.4349934,0.07,13.85,20.04,3841.41,213.41,18,13,36,20,1
7,87,453.2224428,0.06,17.42,26.02,7893.62,438.53,19,18,54,33,1
40,545,3474.39649,0.02,44.61,77.88,155000.02,8611.11,25,58,338,207,1
9,130,718.0630543,0.04,23.38,30.72,16784.72,932.48,22,24,79,51,1
8,72,349.7746316,0.05,18.42,18.99,6441.68,357.87,17,12,46,26,1
6,90,461.6354715,0.06,17.26,26.74,7969.29,442.74,16,19,49,41,1
43,575,3876.343517,0.03,35.31,109.78,136868.43,7603.8,26,81,355,220,1
1,407,2635.623506,0.07,15.27,172.57,40253.16,2236.29,12,77,211,196,1
1,7,19.65148445,0.5,2,9.83,39.3,2.18,4,3,4,3,1
6,62,272.3236802,0.08,12.1,22.51,3295.12,183.06,11,10,40,22,1
123,943,6075.695717,0.03,38.08,159.53,231389.88,12854.99,16,71,605,338,1
2,62,267.9595419,0.07,15,17.86,4019.39,223.3,12,8,42,20,1
6,65,325,0.07,14.73,22.06,4788.33,266.02,17,15,39,26,1
18,251,1423.778761,0.04,27.27,52.21,38830.33,2157.24,18,33,151,100,1
3,66,330,0.13,7.6,43.45,2506.43,139.25,11,21,37,29,1
1,38,176.4665352,0.22,4.47,39.47,788.91,43.83,8,17,19,19,1
3,32,133.4376,0.13,8,16.68,1067.5,59.31,9,9,16,16,1
7,106,539.2710612,0.06,16,33.7,8628.34,479.35,16,18,70,36,1
2,38,152,0.08,12.5,12.16,1900,105.56,10,6,23,15,1
24,254,1447.911688,0.03,29.36,49.31,42515.95,2362,19,33,152,102,1
4,42,195.04196,0.15,6.68,29.2,1302.6,72.37,11,14,25,17,1
1,38,148.4618426,0.12,8.57,17.32,1272.53,70.7,8,7,23,15,1
3,73,371.3847874,0.17,5.76,64.48,2139.18,118.84,9,25,41,32,1
3,78,374.9736839,0.08,12,31.25,4499.68,249.98,12,16,46,32,1
1,39,162.6270751,0.09,11,14.78,1788.9,99.38,11,7,25,14,1
16,329,1935.389563,0.03,37.5,51.61,72577.11,4032.06,25,34,227,102,1
14,243,1371.457054,0.03,31.94,42.93,43810.43,2433.91,23,27,168,75,1
1,8,24,0.4,2.5,9.6,60,3.33,5,3,5,3,1
3,25,104.248125,0.13,8,13.03,833.99,46.33,12,6,17,8,1
133,1612,10132.06838,0.01,102.66,98.69,1040194.98,57788.61,23,55,1121,491,1
2,73,339.0015019,0.12,8.44,40.18,2860.33,158.91,9,16,43,30,1
22,396,2458.943533,0.02,47.37,51.91,116471.96,6470.66,29,45,249,147,1
12,223,1238.673314,0.04,27.48,45.07,34042.87,1891.27,17,30,126,97,1
1,6,15.509775,0.5,2,7.75,31.02,1.72,4,2,4,2,1
9,163,919.9485589,0.05,18.29,50.3,16823.91,934.66,17,33,92,71,1
5,70,343.4823417,0.08,12.69,27.07,4357.93,242.11,14,16,41,29,1
6,86,421.9925912,0.07,14,30.14,5907.9,328.22,12,18,44,42,1
5,24,96,0.13,7.5,12.8,720,40,10,6,15,9,1
19,544,3486.708669,0.02,45.44,76.73,158448.41,8802.69,23,62,299,245,1
29,712,4790.279364,0.02,51.68,92.7,247537.69,13752.09,26,80,394,318,1
1,40,172.8771238,0.32,3.17,54.59,547.44,30.41,5,15,21,19,1
12,663,4830.221671,0.04,28.55,169.21,137880.87,7660.05,24,132,349,314,1
6,139,724.1140178,0.04,28.42,25.48,20580.08,1143.34,18,19,79,60,1
1,13,36.49561399,0.44,2.25,16.21,82.12,4.56,3,4,7,6,1
3,43,197.1533875,0.2,5,39.43,985.77,54.76,8,16,23,20,1
28,797,5080.906427,0.02,64.2,79.15,326177.53,18120.97,22,61,441,356,1
5,103,472.2511376,0.05,20.5,23.04,9681.15,537.84,12,12,62,41,1
14,269,1677.442455,0.03,32.91,50.59,54805.37,3044.74,26,47,152,119,1
6,92,479.2697096,0.07,13.74,34.89,6583.65,365.76,18,19,63,29,1
22,274,1569.450205,0.03,38.72,40.53,60767.15,3375.95,21,32,156,118,1
9,100,549.1853096,0.06,17.06,32.18,9370.47,520.58,21,24,61,39,1
5,28,118.9419704,0.15,6.67,17.84,792.95,44.05,10,9,16,12,1
16,704,4667.067061,0.02,52.32,89.2,244180.95,13565.61,24,75,377,327,1
13,212,1150.368128,0.04,24.89,46.22,28631.38,1590.63,16,27,128,84,1
3,54,264.9720922,0.09,11.5,23.04,3047.18,169.29,15,15,31,23,1
3,25,97.67226489,0.14,7,13.95,683.71,37.98,10,5,18,7,1
16,149,716.2958834,0.03,30.5,23.49,21847.02,1213.72,14,14,88,61,1
5,46,164.908275,0.06,16,10.31,2638.53,146.59,8,4,30,16,1
7,244,1377.10091,0.04,25.24,54.56,34761.37,1931.19,17,33,146,98,1
6,93,484.479163,0.05,18.95,25.57,9179.61,509.98,18,19,53,40,1
9,118,665.9750304,0.07,15.02,44.35,10000.37,555.58,19,31,69,49,1
4,85,428.7735001,0.12,8.48,50.57,3635.25,201.96,10,23,46,39,1
10,167,842.4138179,0.02,43.43,19.4,36584.83,2032.49,19,14,103,64,1
12,131,687.4785043,0.04,26.5,25.94,18218.18,1012.12,19,19,78,53,1
2,137,697.4653432,0.07,13.55,55.85,10252.44,569.58,14,31,73,54,1
2,138,698.8072472,0.07,14,54.13,10610.26,589.46,14,30,74,54,1
8,185,1088.288964,0.04,22.68,47.98,24683,1371.28,23,36,114,71,1
4,104,529.0961355,0.06,18.16,29.14,9607.27,533.74,15,19,58,46,1
4,153,835.2930377,0.04,25.46,32.81,21266.56,1181.48,19,25,86,67,1
5,108,540,0.06,15.94,33.87,8610,478.33,14,18,67,41,1
8,146,801.8105521,0.04,22.65,35.39,18164.09,1009.12,19,26,84,62,1
2,174,944.1700673,0.08,12.58,75.08,11873.65,659.65,10,33,91,83,1
1,16,55.3509059,0.44,2.29,24.22,126.52,7.03,4,7,8,8,1
1,16,55.3509059,0.44,2.29,24.22,126.52,7.03,4,7,8,8,1
1,16,55.3509059,0.44,2.29,24.22,126.52,7.03,4,7,8,8,1
4,48,220.0782,0.08,11.82,18.62,2600.92,144.5,13,11,28,20,1
